# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = -0.40 ([Fe/H]_sun = 0.0181)
# X = 7.3669E-01   Y = 2.580E-01   Z = 5.3084E-03 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,9.00E+06,3.48387,-2.19686,0.736647,1360970.0,4.26545,0.286082
0.060,9.00E+06,3.48895,-2.13955,0.736647,1432160.0,4.26627,0.298521
0.065,9.00E+06,3.49303,-2.09071,0.736647,1502130.0,4.26852,0.309906
0.070,9.00E+06,3.49646,-2.04199,0.736647,1561650.0,4.26568,0.322657
0.075,9.00E+06,3.49946,-2.00457,0.736647,1630170.0,4.27023,0.332237
0.080,9.00E+06,3.50232,-1.96442,0.736647,1688190.0,4.26957,0.343396
0.085,9.00E+06,3.50513,-1.92644,0.736647,1744470.0,4.26914,0.354139
0.090,9.00E+06,3.508,-1.88794,0.736647,1795560.0,4.26696,0.365321
0.095,9.00E+06,3.51086,-1.8549,0.736647,1852420.0,4.26883,0.374525
0.100,9.00E+06,3.51359,-1.81963,0.736647,1900170.0,4.26676,0.38517
0.110,9.00E+06,3.51824,-1.75745,0.736647,1994840.0,4.26458,0.404987
0.120,9.00E+06,3.52203,-1.70636,0.736647,2093110.0,4.26644,0.422088
0.130,9.00E+06,3.52544,-1.65481,0.736647,2175860.0,4.26327,0.44093
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,1.00E+07,3.48299,-2.23374,0.736647,1404030.0,4.29881,0.275303
0.060,1.00E+07,3.48831,-2.17573,0.736647,1478870.0,4.29986,0.287197
0.065,1.00E+07,3.49261,-2.12587,0.736647,1551850.0,4.30199,0.298193
0.070,1.00E+07,3.49617,-2.0769,0.736647,1614660.0,4.29946,0.310352
0.075,1.00E+07,3.49926,-2.03859,0.736647,1685210.0,4.30344,0.319777
0.080,1.00E+07,3.50216,-1.99827,0.736647,1745830.0,4.30277,0.330515
0.085,1.00E+07,3.50499,-1.96023,0.736647,1804590.0,4.30235,0.340852
0.090,1.00E+07,3.50783,-1.92209,0.736647,1858440.0,4.30043,0.351513
0.095,1.00E+07,3.51064,-1.8891,0.736647,1917430.0,4.30214,0.360435
0.100,1.00E+07,3.51332,-1.8543,0.736647,1967820.0,4.30035,0.370562
0.110,1.00E+07,3.51795,-1.79241,0.736647,2067020.0,4.29837,0.389533
0.120,1.00E+07,3.52174,-1.74098,0.736647,2168560.0,4.29987,0.406155
0.130,1.00E+07,3.52513,-1.68962,0.736647,2255170.0,4.29686,0.424207
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 2.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,2.00E+07,3.47519,-2.472,0.736647,1685490.0,4.50589,0.216905
0.060,2.00E+07,3.48155,-2.41171,0.736647,1788910.0,4.50883,0.225785
0.065,2.00E+07,3.48718,-2.35721,0.736647,1887290.0,4.51159,0.234258
0.070,2.00E+07,3.49203,-2.30538,0.736647,1976280.0,4.51138,0.243162
0.075,2.00E+07,3.49606,-2.26158,0.736647,2065980.0,4.51366,0.251034
0.080,2.00E+07,3.49968,-2.21894,0.736647,2147670.0,4.51351,0.259314
0.085,2.00E+07,3.50292,-2.17949,0.736647,2226170.0,4.51334,0.267346
0.090,2.00E+07,3.50589,-2.1419,0.736647,2300190.0,4.51245,0.275377
0.095,2.00E+07,3.5086,-2.10839,0.736647,2375550.0,4.51329,0.28265
0.100,2.00E+07,3.51115,-2.07506,0.736647,2444560.0,4.51242,0.290286
0.110,2.00E+07,3.51572,-2.01409,0.736647,2577160.0,4.51113,0.304905
0.120,2.00E+07,3.51971,-1.96033,0.736647,2705690.0,4.51111,0.318471
0.130,2.00E+07,3.52327,-1.90902,0.736647,2821300.0,4.50881,0.332355
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 3.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,3.00E+07,3.46799,-2.61411,0.736647,1841190.0,4.61919,0.190381
0.060,3.00E+07,3.47516,-2.55181,0.736647,1965560.0,4.62338,0.197888
0.065,3.00E+07,3.48157,-2.49517,0.736647,2083440.0,4.62713,0.20508
0.070,3.00E+07,3.48735,-2.44125,0.736647,2192030.0,4.62851,0.212485
0.075,3.00E+07,3.49214,-2.3946,0.736647,2298050.0,4.63096,0.219322
0.080,3.00E+07,3.49626,-2.35061,0.736647,2396150.0,4.63151,0.226373
0.085,3.00E+07,3.49994,-2.30993,0.736647,2489980.0,4.63186,0.233247
0.090,3.00E+07,3.50331,-2.27135,0.736647,2578940.0,4.63161,0.240077
0.095,3.00E+07,3.50642,-2.23622,0.736647,2667290.0,4.63239,0.246435
0.100,3.00E+07,3.5093,-2.202,0.736647,2749750.0,4.63195,0.252963
0.110,3.00E+07,3.51436,-2.13956,0.736647,2907000.0,4.63115,0.265554
0.120,3.00E+07,3.51872,-2.08412,0.736647,3057050.0,4.63096,0.277423
0.130,3.00E+07,3.52264,-2.0319,0.736647,3194310.0,4.62916,0.289353
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 4.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,4.00E+07,3.4616,-2.71665,0.736647,1941450.0,4.69618,0.17423
0.060,4.00E+07,3.46964,-2.65206,0.736647,2082950.0,4.70152,0.180864
0.065,4.00E+07,3.47653,-2.59436,0.736647,2216830.0,4.70614,0.18725
0.070,4.00E+07,3.48294,-2.53917,0.736647,2341630.0,4.7088,0.193723
0.075,4.00E+07,3.48856,-2.4898,0.736647,2461990.0,4.71186,0.199818
0.080,4.00E+07,3.49331,-2.44402,0.736647,2574050.0,4.7131,0.206078
0.085,4.00E+07,3.49736,-2.40232,0.736647,2680890.0,4.71394,0.212215
0.090,4.00E+07,3.50099,-2.36325,0.736647,2782410.0,4.7142,0.2183
0.095,4.00E+07,3.5043,-2.32746,0.736647,2882090.0,4.71515,0.224038
0.100,4.00E+07,3.50741,-2.29271,0.736647,2975970.0,4.71513,0.229864
0.110,4.00E+07,3.51294,-2.22896,0.736647,3154290.0,4.71488,0.241152
0.120,4.00E+07,3.51772,-2.17203,0.736647,3323010.0,4.71484,0.251887
0.130,4.00E+07,3.52196,-2.11892,0.736647,3478510.0,4.71347,0.262585
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 5.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,5.00E+07,3.45573,-2.79796,0.736647,2010940.0,4.754,0.163011
0.060,5.00E+07,3.46472,-2.73067,0.736647,2167250.0,4.76045,0.169
0.065,5.00E+07,3.47209,-2.67176,0.736647,2314870.0,4.76582,0.174817
0.070,5.00E+07,3.47878,-2.61648,0.736647,2453330.0,4.76946,0.180656
0.075,5.00E+07,3.48495,-2.56559,0.736647,2586390.0,4.77322,0.186189
0.080,5.00E+07,3.49039,-2.51781,0.736647,2710840.0,4.7752,0.191857
0.085,5.00E+07,3.49492,-2.47467,0.736647,2829130.0,4.77655,0.197456
0.090,5.00E+07,3.49887,-2.43477,0.736647,2941510.0,4.77725,0.203016
0.095,5.00E+07,3.50239,-2.39835,0.736647,3051060.0,4.77838,0.208307
0.100,5.00E+07,3.50565,-2.36332,0.736647,3154780.0,4.77868,0.213646
0.110,5.00E+07,3.51145,-2.29894,0.736647,3351380.0,4.7789,0.224016
0.120,5.00E+07,3.51654,-2.24098,0.736647,3536620.0,4.7791,0.233924
0.130,5.00E+07,3.52115,-2.18685,0.736647,3708100.0,4.77814,0.243745
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 6.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,6.00E+07,3.45021,-2.86598,0.736647,2060720.0,4.79994,0.154613
0.060,6.00E+07,3.46012,-2.79612,0.736647,2230100.0,4.8075,0.160088
0.065,6.00E+07,3.46813,-2.73539,0.736647,2389910.0,4.81359,0.165461
0.070,6.00E+07,3.47506,-2.67987,0.736647,2540230.0,4.81798,0.170841
0.075,6.00E+07,3.48146,-2.62871,0.736647,2684550.0,4.82237,0.175945
0.080,6.00E+07,3.4874,-2.57964,0.736647,2820250.0,4.8251,0.181145
0.085,6.00E+07,3.49247,-2.53495,0.736647,2949060.0,4.827,0.186314
0.090,6.00E+07,3.49678,-2.49402,0.736647,3071360.0,4.82813,0.191464
0.095,6.00E+07,3.50056,-2.45675,0.736647,3189900.0,4.82947,0.19641
0.100,6.00E+07,3.504,-2.42126,0.736647,3302410.0,4.83001,0.201386
0.110,6.00E+07,3.51004,-2.35627,0.736647,3515250.0,4.83058,0.211077
0.120,6.00E+07,3.5153,-2.29781,0.736647,3715180.0,4.83097,0.220364
0.130,6.00E+07,3.52016,-2.24297,0.736647,3900850.0,4.83033,0.229529
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 7.00E+07
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,7.00E+07,3.4449,-2.92509,0.736647,2096870.0,4.8378,0.148018
