# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = +0.00 ([Fe/H]_sun = 0.0181)
# X = 7.2881E-01   Y = 2.580E-01   Z = 1.3191E-02 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.075,9.00E+07,3.4524,-2.79266,0.728956,2804050.0,4.87007,0.166543
0.080,9.00E+07,3.45867,-2.74274,0.728956,2951570.0,4.87328,0.171373
0.085,9.00E+07,3.46405,-2.69795,0.728956,3093520.0,4.87635,0.176023
0.090,9.00E+07,3.46877,-2.65617,0.728956,3227820.0,4.87824,0.180732
0.095,9.00E+07,3.47295,-2.61756,0.728956,3356820.0,4.87983,0.185346
0.100,9.00E+07,3.47675,-2.58132,0.728956,3480740.0,4.88107,0.189888
0.110,9.00E+07,3.48359,-2.51369,0.728956,3713190.0,4.88221,0.198895
0.120,9.00E+07,3.48946,-2.45231,0.728956,3927890.0,4.8821,0.207765
0.130,9.00E+07,3.49441,-2.39699,0.728956,4128230.0,4.88135,0.216436
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,1.00E+08,3.41121,-3.08704,0.728956,2144630.0,4.865,0.143455
0.060,1.00E+08,3.42393,-3.00995,0.728956,2337530.0,4.8766,0.147845
0.065,1.00E+08,3.43418,-2.94266,0.728956,2519500.0,4.88506,0.152391
0.070,1.00E+08,3.4425,-2.88411,0.728956,2692320.0,4.89197,0.156892
0.075,1.00E+08,3.44976,-2.83042,0.728956,2856190.0,4.89729,0.161407
0.080,1.00E+08,3.45629,-2.77998,0.728956,3011010.0,4.90098,0.165993
0.085,1.00E+08,3.46196,-2.73433,0.728956,3159630.0,4.90434,0.17044
0.090,1.00E+08,3.46692,-2.69178,0.728956,3300290.0,4.90646,0.174954
0.095,1.00E+08,3.47129,-2.65254,0.728956,3435200.0,4.90819,0.179392
0.100,1.00E+08,3.47525,-2.61578,0.728956,3564680.0,4.90953,0.183769
0.110,1.00E+08,3.48232,-2.54741,0.728956,3807690.0,4.91086,0.192443
0.120,1.00E+08,3.48841,-2.48532,0.728956,4032120.0,4.9109,0.20099
0.130,1.00E+08,3.49354,-2.42934,0.728955,4241190.0,4.9102,0.209367
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,1.50E+08,3.38999,-3.26126,0.728956,2197760.0,4.95433,0.129435
0.060,1.50E+08,3.40551,-3.17706,0.728956,2421600.0,4.97002,0.13277
